Divison,Yes ,No 
Banks,37736,46343
Barton,37153,47984
Bennelong,42943,43215
Berowra,48471,40369
Blaxland,20406,57926
Bradfield,53681,34927
Calare,54091,35779
Chifley,32871,46702
Cook,47505,38804
Cowper,57493,38317
Cunningham,60906,31840
Dobell,59475,30987
Eden-Monaro,57223,30926
Farrer,48432,39297
Fowler,27847,48782
Gilmore,59322,36386
Grayndler,73208,18429
Greenway,38016,43980
Hughes,51337,36558
Hume,51284,36271
Hunter,59137,32723
Kingsford Smith,56297,31510
Lindsay,49071,38295
Lyne,51416,41539
Macarthur,43323,39907
Mackellar,62350,29330
Macquarie,56180,31778
McMahon,29146,53967
Mitchell,42112,43652
Newcastle,71158,23999
New England,44608,40324
North Sydney,64813,25473
Page,55943,37727
Parkes,41408,37108
Parramatta,29299,47038
Paterson,60915,32059
Reid,43567,39061
Richmond,62591,29625
Riverina,47333,39308
Robertson,58689,30614
Shortland,62455,29836
Sydney,76144,14860
Warringah,64999,21660
Watson,24915,57160
Wentworth,69279,16410
Werriwa,30252,53174
Whitlam,57562,34879
Aston,48455,29730
Ballarat,65613,27405
Batman,66383,26906
Bendigo,63412,28852
Bruce,34644,39203
Calwell,37839,49823
Casey,59959,28144
Chisholm,49448,30844
Corangamite,69723,27708
Corio,62658,29865
Deakin,55464,28973
Dunkley,62840,24471
Flinders,68291,29275
Gellibrand,62045,29065
Gippsland,51196,33910
Goldstein,69726,21663
Gorton,49834,43587
Higgins,70059,19375
Holt,47147,45875
Hotham,47986,32524
Indi,54563,31925
Isaacs,56645,30063
Jagajaga,65098,23453
Kooyong,63592,22729
Lalor,57062,43429
La Trobe,61807,29826
Mallee,42495,35795
Maribyrnong,53208,35658
McEwen,73705,39007
McMillan,61479,36500
Melbourne,81287,15839
Melbourne Ports,70589,15523
Menzies,47137,35626
Murray,48205,35452
Scullin,48245,42147
Wannon,49340,31529
Wills,68450,29399
Blair,47194,31433
Bonner,52139,31891
Bowman,53529,32627
Brisbane,72812,18762
Capricornia,39917,33917
Dawson,42539,34599
Dickson,54206,28988
Fadden,52154,32218
Fairfax,58510,32451
Fisher,52023,30783
Flynn,39020,36783
Forde,46937,30585
Griffith,69171,21132
Groom,40536,41915
Herbert,48110,28441
Hinkler,40649,39548
Kennedy,33160,37784
Leichhardt,47750,27606
Lilley,59991,28671
Longman,51268,33576
Maranoa,35475,45308
McPherson,54034,28486
Moncrieff,50566,28717
Moreton,47418,30413
Oxley,44655,29365
Petrie,53144,33067
Rankin,41570,34621
Ryan,64967,24451
Wide Bay,46507,37065
Wright,47109,35812
Adelaide,62769,26771
Barker,42498,38827
Boothby,62139,28556
Grey,40811,35750
Hindmarsh,57947,33613
Kingston,58863,27567
Makin,51547,33743
Mayo,57361,31247
Port Adelaide,53649,33869
Sturt,52308,32655
Wakefield,52636,33649
Brand,51953,25481
Burt,44058,33275
Canning,48486,32019
Cowan,44388,31075
Curtin,59638,22943
Durack,39304,27128
Forrest,51612,29285
Fremantle,57541,24559
Hasluck,47880,28836
Moore,56690,26690
O'Connor,43554,33987
Pearce,54305,30699
Perth,57510,22967
Stirling,47225,30060
Swan,49093,26830
Tangney,48338,30090
Bass,36249,22510
Braddon,30054,25573
Denison,45005,15992
Franklin,44746,20322
Lyons,35894,25258
Lingiari,19026,15898
Solomon,29660,15792
Canberra,89590,31361
Fenner,85869,30159
